13714	192932
192282	5357039
127801	153340
1123496	1325382
180243	153989
209322	12167
117461	130271
121693	237161
131818	108510
109087	1177641
1403941	124187
95085	960724
134333	89748
140883	1438984
219936	2217185
1125342	1116749
141613	439285
122675	129699
108410	131841
165105	330190
119762	226676
134578	87703
104791	132490
11028	233708
77354	1042606
134871	84578
88771	134461
132201	106295
12266	206305
105605	132358
107127	132057
134209	90808
591827	992772
13006	198974
201948	12742
237232	192170
335813	88772
3475641	3449628
4869498	4769896
95180	133671
4869498	4769897
129105	138400
178636	9039
1075167	859001
3766198	161882
9879	189452
99726	525283
207575	139313
178237	489540
10707	228748
7268	160824
130703	114774
1784450	1784451
139416	193597
482244	157265
109347	14477
482244	157267
128428	147410
2029171	3562450
13634	194054
117554	129647
14263	157334
140535	129027
113834	136572
596103	195569
7101	159852
3160905	101206
91946	134058
97607	390072
78231	135584
109588	820373
135809	237283
87092	445348
107355	132030
4943500	4946503
2270748	177736
217685	11529
939154	939153
2044229	95883
116263	4265603
770767	770766
155118	127485
747275	102274
4153538	4170696
1107654	557964
8065	167703
1794061	1794060
180884	212050
133417	99606
393560	393557
432495	1018688
236558	207427
158105	6741
338039	83480
86509	134691
15232	224421
98976	133525
13455	195365
74255	1050158
116930	130333
142869	128839
1831445	2240397
80108	135405
150189	5342797
144009	3613776
96456	136660
79232	3655809
122294	129773
11849	215003
1490539	1488122
110315	131503
1337188	189500
6842	158601
128433	147381
2946389	2946391
109949	131560
9837	189125
127819	153267
190318	13986
14595	122245
129957	120587
11407	220637
233079	10309
132508	104656
157330	1084231
474504	993766
392358	93820
412063	126790
155776	6298
2505688	3983986
2760647	4260370
10954	226521
3080994	127468
115957	130462
122977	129673
192515	135853
1158477	1200727
116304	182618
145543	3123
201370	12806
129990	120353
131472	110450
113180	237073
130726	114636
142400	645772
199760	12940
225087	11127
129771	122310
330693	74070
182022	122639
154253	14741
226323	10973
4747520	3276590
1084133	1084288
412321	125481
221220	11382
4534807	4517157
12767	201754
100995	133169
109568	131651
183169	9326
128046	152111
195731	15086
386211	386210
6986	134742
4078354	4185389
118982	130086
995026	982207
2185122	1367688
128368	147909
1134738	4203400
7073	159671
102604	14448
179384	9102
135812	153307
138605	114808
1185720	387073
132587	104259
127824	153247
134287	90143
3674701	102532
203057	12588
203112	181586
115102	130626
362348	115520
6250	155470
332246	168833
182985	9309
234112	119846
181698	121995
189317	442795
182109	1076187
12411	204689
5952	199382
102581	132879
131416	110736
181476	210431
155345	6225
5410568	5410559
4730591	4730592
336582	210758
136129	175004
156064	532484
123638	129620
96596	120061
134165	91078
869881	544920
10297	233210
196063	13362
103265	132759
4890	3289
152531	127972
235062	10101
167617	8057
414713	412920
5332	4295
2430004	4869971
338199	198392
709630	487344
123257	129651
87585	15648
2430004	4869975
2430004	4869977
2430004	4869978
209936	12137
678762	216930
152396	127994
173014	8562
125667	129429
147644	128405
2985792	2991913
1603441	1977149
111785	131215
135234	81621
196994	13246
8596	173471
2086242	78936
222209	1089749
980709	992844
1559906	1083985
11524	217784
1257817	1244647
900562	1251872
80190	329812
13697	193151
134833	84783
801131	95619
1301148	1251861
2923528	169326
948465	208312
139057	219033
993959	130575
7697	163164
158971	6923
7630	83088
109454	15403
86207	134713
99358	133460
994686	994663
105843	140101
134248	90428
128242	149288
188721	432922
2214229	691451
132959	102108
1564949	1564944
100972	1087607
1158294	15035
2430004	4869990
10949	226559
337399	172717
103268	330253
182554	9279
8948	177208
87578	180936
128270	149057
6338	155963
214191	11946
1261488	1261481
678482	125632
112697	131051
330222	142374
4720995	4639324
10146	234717
78118	139574
1934083	173117
3141	4750
129168	137571
2252816	98785
997560	141611
11519	217859
141069	128966
149330	138946
112223	131121
1188915	156623
158353	6802
133600	95941
214297	11935
229816	10601
5278	3884
2430004	4869988
509008	126626
188789	9781
438333	158603
2239690	2239691
104803	1479907
3089796	432739
3557602	530392
130505	115698
222636	427339
176714	8906
15610	89613
12648	202621
1236527	151900
8501	172302
10313	80782
3554320	3555489
13460	195351
4323369	494509
15697	84129
140154	129065
154206	127657
234514	10173
993932	426123
102506	132890
138628	97468
138880	112569
14943	236904
740372	1700213
129173	137496
591208	178957
132136	106701
132417	105277
3552898	3869289
130016	119687
358393	199167
1206452	1209354
368262	90968
405958	177633
3346919	3346915
1076181	88410
5295980	5295981
132283	105898
8891	176510
1395943	1395954
3386446	3386675
2233521	2172890
113998	130841
1395943	1395957
713353	185048
13341	196187
79041	135512
91070	15557
2305143	1389850
2305143	1389851
10123	234905
130561	115388
1313595	1313593
91861	133678
1152264	539047
1484664	898672
134003	92508
153671	127784
1700136	1700130
214596	914386
148858	128292
3649764	2509001
391226	188469
1133340	134481
4761	920400
161301	390247
161763	7455
4934	3339
6635	157540
4771	3163
189897	14038
92175	134031
133249	100573
13395	195896
136725	136548
4323397	1272425
135060	82974
1347804	1347803
9380	79868
139705	451070
3256	4857
761013	761019
108069	338174
7523	162081
127389	129268
12965	199441
113187	236565
131791	108732
76034	931601
133846	93881
515577	2412133
3081098	1286593
14613	124128
7180	160391
121535	129867
132113	106802
387691	935122
133455	99378
12049	212999
878467	878469
152777	127923
993577	939338
2227063	2227062
167563	8050
169351	984549
234664	4999
95561	133635
913517	460810
519939	519944
128819	143023
131874	108190
3807830	3810006
100600	133243
885040	209571
207788	492203
9907	189727
119702	667310
364294	98684
131800	108658
135409	80069
823135	823134
838918	145860
175786	8848
607624	1152235
161576	7408
3095354	1167794
175011	330864
3391264	3408212
101971	132984
128265	149083
4724222	175700
91799	139959
130713	110473
188703	138714
391945	391946
6507	134955
13364	196057
126714	129330
101654	433212
126714	129326
167390	8034
15762	83387
146488	14674
390608	202188
172682	14954
130349	116752
4952924	4953110
11766	215682
100135	133316
4340241	2432356
6452	156680
136374	90183
330214	123690
208716	1014003
534913	1179903
181990	164633
992036	755884
3602099	136739
189885	330491
181120	178491
1331221	1331219
226485	2334816
1244386	1244388
4064697	994683
1008535	331856
330723	3309
1204503	1204142
132252	106055
192525	180557
10306	233118
207089	910721
339417	80790
187912	136475
173628	4264341
10672	229104
14703	152192
430560	430712
132564	104392
80968	135305
181697	159068
3304	4903
7565	162307
4869975	2430004
4292	329791
135318	80845
2303016	1393011
3655631	100115
5059	4320491
89069	134421
6710	157906
1042619	96524
2807996	2706899
4271196	203089
2472674	4320426
164065	1077820
1750340	1486279
2472674	4320428
2472674	4320429
337896	91040
451617	104867
1558433	161039
2936963	4262144
131897	108086
435742	1023536
334184	999398
226785	2125671
3137232	84162
5169	3599
156303	14772
162728	7639
1165013	1164978
1165013	1164979
184230	9405
89078	15623
706586	727302
706586	727304
130584	115287
183394	531076
942208	942204
10931	226723
126532	100801
163756	181340
129652	123258
201755	12766
459493	937403
1470409	155149
1811546	1811547
6503	156891
1165013	1164986
1811546	1811548
635386	169947
8099	168071
169653	14929
329749	213481
86458	134696
109345	131693
2044212	219688
230576	15275
106680	4645927
1203294	220098
12653	202592
4292699	4293953
123119	1653045
129401	125822
101298	133116
152698	127945
4170785	4144699
130782	114340
135797	108298
194918	13507
433225	992874
93899	133844
204636	549787
7358	161296
10055	235423
9408	184246
83913	801124
408937	148153
4959602	1600937
111938	131180
106506	180740
108290	330386
171165	8386
95942	133599
126937	129303
468114	132402
3659189	174748
423434	423432
175039	8741
9385	184053
1193972	1193969
4320247	1167794
9251	182394
672096	541581
147802	128386
3471710	3471703
166468	920453
477445	236886
108150	452153
181949	94771
133277	100375
1368814	2281001
83950	134954
229824	367790
117154	130305
407545	407544
12429	204565
104154	132605
187801	9677
1364018	141443
88883	15628
187768	398132
133991	94694
134801	85110
2249907	1526088
133538	98851
223184	341196
1189453	890127
1422886	219821
12713	202112
521610	521600
12744	201928
133107	101373
806463	79755
3468523	220200
141813	128926
6677	157754
139309	144836
123336	129641
133814	94054
331876	153711
172882	1236528
178091	8999
6800	158356
198537	13047
108128	901882
225440	1143122
124629	370097
189500	1644535
226705	119795
166468	920454
136408	116734
336986	2308949
83210	330909
410488	696095
536067	518536
2269475	2393508
200456	12904
1330994	91188
110013	131553
129361	126371
128659	144712
2222330	2222331
212299	136466
2452181	2456906
133884	93585
237226	137499
330853	185452
99073	181714
4751202	2367753
158201	14333
7133	160044
194605	890819
128305	148699
3137925	202520
132192	106339
330254	110825
1179193	129883
